,Silver,Gold ,Platinum ,Diamond ,Islamic
,,,,,
Instrument,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:,Spread in Pip Starting From:
ZOOM,5.9,5.9,5.9,5.9,5.9
AMGEN,5.1,5.1,5.1,5.1,5.1
SOUTHWEST,4.6,4.6,4.6,4.6,4.6
SPIRIT,4.6,4.6,4.6,4.6,4.6
CopaHold,5.5,5.5,5.5,5.5,5.5
AirTransp,4.5,4.5,4.5,4.5,4.5
SkyWest,5.2,5.2,5.2,5.2,5.2
HawaiianHL,4.5,4.5,4.5,4.5,4.5
Ryanair,5.5,5.5,5.5,5.5,5.5
Allegiant,9.5,9.5,9.5,9.5,9.5
WMusic,4.8,4.8,4.8,4.8,4.8
TakeTwo,5,5,5,5,5
Lululemon,6.9,6.9,6.9,6.9,6.9
ShakeShack,5.5,5.5,5.5,5.5,5.5
AMCentr,5.1,5.1,5.1,5.1,5.1
FreshPet,5.7,5.7,5.7,5.7,5.7
SRNETherap,4.9,4.9,4.9,4.9,4.9
Chewy,4.8,4.8,4.8,4.8,4.8
Carnival,4.9,4.9,4.9,4.9,4.9
CarMax,5.1,5.1,5.1,5.1,5.1
HomeDepot,5.7,5.7,5.7,5.7,5.7
BlackBerry,4.7,4.7,4.7,4.7,4.7
DraftKings,4.5,4.5,4.5,4.5,4.5
CRIPSR,5.9,5.9,5.9,5.9,5.9
Splunk,5.1,5.1,5.1,5.1,5.1
DISCA,4.9,4.9,4.9,4.9,4.9
Zscaler,6.6,6.6,6.6,6.6,6.6
VirginG,4.8,4.8,4.8,4.8,4.8
Zuora,4.8,4.8,4.8,4.8,4.8
StitchFix,5,5,5,5,5
BeyondMeat,5.6,5.6,5.6,5.6,5.6
Pinterest,4.7,4.7,4.7,4.7,4.7
Twilio,8.5,8.5,8.5,8.5,8.5
Roku,5.3,5.3,5.3,5.3,5.3
Salesforce,4.8,4.8,4.8,4.8,4.8
SQUARE,5.5,5.5,5.5,5.5,5.5
DicksSp,6.1,6.1,6.1,6.1,6.1
FootLocker,4.8,4.8,4.8,4.8,4.8
ETSY,4.8,4.8,4.8,4.8,4.8
DataDog,5.2,5.2,5.2,5.2,5.2
Workday,6.1,6.1,6.1,6.1,6.1
Fastly,4.6,4.6,4.6,4.6,4.6
Wayfair,6.1,6.1,6.1,6.1,6.1
AutoDesk,5,5,5,5,5
Redfin,5,5,5,5,5
Okta,5.6,5.6,5.6,5.6,5.6
Nutanix,4.7,4.7,4.7,4.7,4.7
ULTA,7.4,7.4,7.4,7.4,7.4
DollarTree,4.9,4.9,4.9,4.9,4.9
DocuSign,5.6,5.6,5.6,5.6,5.6
Teladoc,4.9,4.9,4.9,4.9,4.9
IntuitiveS,8.8,8.8,8.8,8.8,8.8
WIX,6.3,6.3,6.3,6.3,6.3
LEMONADE,5.9,5.9,5.9,5.9,5.9
NIKOLA,4.7,4.7,4.7,4.7,4.7
GOHEALTH,4.5,4.5,4.5,4.5,4.5
NCINO,5.5,5.5,5.5,5.5,5.5
UNG,4.6,4.6,4.6,4.6,4.6
UnileverNY,4.6,4.6,4.6,4.6,4.6
BlackRock,9.5,9.5,9.5,9.5,9.5
Shopify,7.5,7.5,7.5,7.5,7.5
HARMONY,5.5,5.5,5.5,5.5,5.5
HONEYWELL,4.9,4.9,4.9,4.9,4.9
NIO,5,5,5,5,5
RIOTINTO,19,19,19,19,19
BHPGROUP,4.6,4.6,4.6,4.6,4.6
Peloton,4.9,4.9,4.9,4.9,4.9
SNOWFLAKE,6.3,6.3,6.3,6.3,6.3
PROSUS,5.4,5.4,5.4,5.4,5.4
BOOHOO,8.5,8.5,8.5,8.5,8.5
EVOTEC,6.5,6.5,6.5,6.5,6.5
ADOBE,12,12,12,12,12
PAYPAL,4.6,4.6,4.6,4.6,4.6
PM,8.2,8.2,8.2,8.2,8.2
AIRBNB,4.9,4.9,4.9,4.9,4.9
INTESA,5.5,5.5,5.5,5.5,5.5
UNICREDIT,5.6,5.6,5.6,5.6,5.6
MEDIASET,6.5,6.5,6.5,6.5,6.5
SAIPEM,5.5,5.5,5.5,5.5,5.5
JUVENTUS,9.5,9.5,9.5,9.5,9.5
Stellantis,5.1,5.1,5.1,5.1,5.1
ELECTRAMV,4.7,4.7,4.7,4.7,4.7
GAMESTOP,5.2,5.2,5.2,5.2,5.2
A.AIRLINES,4.9,4.9,4.9,4.9,4.9
COINBASE,5.1,5.1,5.1,5.1,5.1
VERANO,5.1,5.1,5.1,5.1,5.1
ROLLS-ROYCE,4.8,4.8,4.8,4.8,4.8
BAKER,4.6,4.6,4.6,4.6,4.6
TAIWANSMC,4.8,4.8,4.8,4.8,4.8
SPDR500,9.6,9.6,9.6,9.6,9.6
OCUGEN,4.6,4.6,4.6,4.6,4.6
ZIVOBIO,5.8,5.8,5.8,5.8,5.8
TORCHLIGHT (META MATERIALS),4.6,4.6,4.6,4.6,4.6
FIRSTSOLAR,5,5,5,5,5
SolarEdge,7.6,7.6,7.6,7.6,7.6
FISKER,4.6,4.6,4.6,4.6,4.6
EHANG,5.4,5.4,5.4,5.4,5.4
NEXTERA,4.6,4.6,4.6,4.6,4.6
BROOKFIELD,5.4,5.4,5.4,5.4,5.4
PlugPower,4.6,4.6,4.6,4.6,4.6
Opendoor,4.8,4.8,4.8,4.8,4.8
LucidGroup,9.5,9.5,9.5,9.5,9.5
AvePoint,4.6,4.6,4.6,4.6,4.6
ROBINHOOD,5.1,5.1,5.1,5.1,5.1
AGNCInvest,4.6,4.6,4.6,4.6,4.6
CANOO,4.6,4.6,4.6,4.6,4.6
BOOTBARN,5.6,5.6,5.6,5.6,5.6
ELEMENTS,4.5,4.5,4.5,4.5,4.5
INNOVATIVE,7.8,7.8,7.8,7.8,7.8
KORNIT,6.6,6.6,6.6,6.6,6.6
VERITIV,7.4,7.4,7.4,7.4,7.4
DOXIMITY,8.4,8.4,8.4,8.4,8.4
ALTRIA,4.6,4.6,4.6,4.6,4.6
UNICORP,5.1,5.1,5.1,5.1,5.1
LVMH,14,14,14,14,14
COUPANG,4.6,4.6,4.6,4.6,4.6
COHENCOMP,13,13,13,13,13
CHINAREC,14.8,14.8,14.8,14.8,14.8
THENINE,4.9,4.9,4.9,4.9,4.9
LithiumAmericas,4.5,4.5,4.5,4.5,4.5
Livent,4.8,4.8,4.8,4.8,4.8
RiotBlock,4.5,4.5,4.5,4.5,4.5
Marathon,4.5,4.5,4.5,4.5,4.5
Lightning,9.5,9.5,9.5,9.5,9.5
Bilibili,5.5,5.5,5.5,5.5,5.5
Canann,4.6,4.6,4.6,4.6,4.6
NewChinaIns,14.5,14.5,14.5,14.5,14.5
MRK,14.4,14.4,14.4,14.4,14.4
CHEMOCEN,5,5,5,5,5
EQONEX,4.7,4.7,4.7,4.7,4.7
RIVIAN,8.9,8.9,8.9,8.9,8.9
YALLAGROUP,4.7,4.7,4.7,4.7,4.7
JUNIPER,4.6,4.6,4.6,4.6,4.6
MOODYS,7.5,7.5,7.5,7.5,7.5
DAVITA,5.1,5.1,5.1,5.1,5.1
VERISIGN,5.9,5.9,5.9,5.9,5.9
SIRIUS,4.7,4.7,4.7,4.7,4.7
CHARTER,9.9,9.9,9.9,9.9,9.9
STONECO,4.5,4.5,4.5,4.5,4.5
Dior,9,9,9,9,9
Hermes,9,9,9,9,9
Kering,5.5,5.5,5.5,5.5,5.5
Airbus,6.8,6.8,6.8,6.8,6.8
Unity,5,5,5,5,5
NUHOLDS,4.5,4.5,4.5,4.5,4.5
OXYPETRO,4.5,4.5,4.5,4.5,4.5
KROGER,4.5,4.5,4.5,4.5,4.5
CHIPOTLE,18,18,18,18,18
ANGHAMI,6.9,6.9,6.9,6.9,6.9
HPACKEnt,4.6,4.6,4.6,4.6,4.6
Tkag,6.5,6.5,6.5,6.5,6.5
SALIK,4.6,4.6,4.6,4.6,4.6
PORSCHE.AG,4.6,4.6,4.6,4.6,4.6
RUMBLE,4.6,4.6,4.6,4.6,4.6
PEABODYEN,4.6,4.6,4.6,4.6,4.6
MICHELIN,4.9,4.9,4.9,4.9,4.9
GOODYEAR,4.5,4.5,4.5,4.5,4.5
EMPOWER,4.5,4.5,4.5,4.5,4.5
